customer_id,gender,senior_citizen,tenure,contract,payment_method,monthly_charges,total_charges,internet_service,tech_support,online_security,paperless_billing,churn
CF-10000,Female,0,6,One year,Electronic check,72.6,428.34,Fiber optic,No,No,Yes,1
CF-10001,Female,0,56,One year,Electronic check,85.02,4773.29,Fiber optic,Yes,Yes,Yes,0
CF-10002,Male,0,47,Two year,Bank transfer,42.05,1894.44,DSL,No,No,Yes,0
CF-10003,Male,1,32,One year,Electronic check,84.13,2746.96,Fiber optic,Yes,No,No,1
CF-10004,Male,0,31,Month-to-month,Mailed check,33.72,974.51,No,Yes,No,No,0
CF-10005,Male,0,62,Month-to-month,Bank transfer,74.35,4480.12,Fiber optic,No,No,Yes,1
CF-10006,Male,0,6,One year,Electronic check,76.29,392.34,Fiber optic,No,Yes,Yes,0
CF-10007,Female,0,50,Month-to-month,Electronic check,76.33,4046.77,Fiber optic,No,No,No,1
CF-10008,Male,1,14,Month-to-month,Electronic check,75.14,1030.33,Fiber optic,No,No,Yes,1
CF-10009,Female,1,6,Month-to-month,Credit card,74.03,457.6,Fiber optic,No,No,No,1
CF-10010,Male,1,38,One year,Mailed check,53.86,2084.74,DSL,No,No,No,0
CF-10011,Male,0,71,Two year,Bank transfer,62.06,4507.55,Fiber optic,No,No,Yes,0
CF-10012,Female,0,53,One year,Electronic check,68.17,3575.19,DSL,Yes,No,Yes,0
CF-10013,Female,0,55,Month-to-month,Bank transfer,24.22,1349.81,No,No,Yes,Yes,1
CF-10014,Female,0,52,Month-to-month,Electronic check,59.49,2884.12,DSL,Yes,Yes,Yes,0
CF-10015,Male,0,57,Month-to-month,Electronic check,60.53,3173.26,DSL,Yes,No,Yes,1
CF-10016,Male,0,37,Month-to-month,Bank transfer,78.63,2862.57,Fiber optic,Yes,No,No,0
CF-10017,Female,0,9,One year,Bank transfer,69.77,596.04,Fiber optic,No,No,Yes,0
CF-10018,Male,0,61,One year,Electronic check,68.71,4507.87,Fiber optic,No,Yes,No,0
CF-10019,Male,1,32,Month-to-month,Mailed check,20.78,673.28,No,No,Yes,No,0
CF-10020,Male,0,36,Month-to-month,Credit card,53.29,1816.78,DSL,No,Yes,Yes,0
CF-10021,Female,0,27,Month-to-month,Electronic check,72.75,1912.61,Fiber optic,No,No,No,1
CF-10022,Female,0,13,Two year,Electronic check,59.47,771.55,DSL,Yes,No,No,0
CF-10023,Male,1,67,One year,Mailed check,18.0,1189.02,No,No,No,Yes,0
CF-10024,Male,0,57,Month-to-month,Electronic check,43.53,2496.85,DSL,No,Yes,No,0
CF-10025,Male,0,47,Two year,Bank transfer,57.5,2686.61,DSL,No,No,No,0
CF-10026,Male,0,29,Month-to-month,Bank transfer,28.46,748.22,No,Yes,No,Yes,0
CF-10027,Female,1,60,Month-to-month,Mailed check,46.54,2404.1,DSL,Yes,Yes,No,1
CF-10028,Female,0,39,Two year,Bank transfer,41.09,1550.56,DSL,No,No,Yes,0
CF-10029,Female,0,32,Month-to-month,Mailed check,57.75,1891.67,Fiber optic,Yes,No,No,1
CF-10030,Male,0,32,Month-to-month,Bank transfer,75.89,2351.39,Fiber optic,Yes,Yes,No,0
CF-10031,Male,0,16,One year,Electronic check,32.52,553.72,No,No,Yes,Yes,0
CF-10032,Male,0,6,Month-to-month,Electronic check,48.76,288.81,DSL,Yes,No,Yes,0
CF-10033,Male,1,40,One year,Bank transfer,80.82,3463.72,Fiber optic,Yes,No,Yes,1
CF-10034,Female,1,64,Month-to-month,Electronic check,26.01,1763.04,DSL,No,No,No,1
CF-10035,Female,0,4,Month-to-month,Electronic check,63.32,266.72,Fiber optic,No,No,Yes,0
CF-10036,Male,0,62,Month-to-month,Mailed check,57.71,3283.87,DSL,No,Yes,Yes,0
CF-10037,Female,0,60,Month-to-month,Bank transfer,90.56,5384.85,Fiber optic,Yes,No,Yes,1
CF-10038,Female,0,20,Month-to-month,Electronic check,42.32,900.03,DSL,Yes,No,No,1
CF-10039,Male,1,46,Month-to-month,Bank transfer,48.32,2236.81,DSL,Yes,Yes,Yes,0
CF-10040,Female,1,12,Two year,Bank transfer,77.74,954.58,Fiber optic,No,No,Yes,1
CF-10041,Female,0,55,Month-to-month,Bank transfer,74.23,3701.85,Fiber optic,Yes,Yes,Yes,0
CF-10042,Female,0,51,Month-to-month,Electronic check,28.96,1632.23,DSL,No,Yes,Yes,0
CF-10043,Male,0,25,Month-to-month,Credit card,76.57,1804.21,Fiber optic,No,Yes,Yes,0
CF-10044,Female,1,4,Month-to-month,Electronic check,83.15,289.47,Fiber optic,No,No,Yes,1
CF-10045,Male,0,70,Month-to-month,Credit card,59.33,4024.07,DSL,Yes,Yes,No,0
CF-10046,Male,0,32,One year,Bank transfer,92.88,2505.98,Fiber optic,Yes,Yes,Yes,0
CF-10047,Female,0,65,Month-to-month,Electronic check,71.02,4269.58,Fiber optic,Yes,No,Yes,1
CF-10048,Male,0,49,Two year,Credit card,85.52,4791.86,Fiber optic,Yes,Yes,No,0
CF-10049,Male,0,56,Two year,Mailed check,20.58,1114.68,No,No,No,Yes,0
CF-10050,Male,1,55,Month-to-month,Mailed check,77.22,3840.79,Fiber optic,No,No,Yes,0
CF-10051,Male,1,14,Month-to-month,Mailed check,76.09,1056.22,Fiber optic,No,Yes,Yes,1
CF-10052,Female,0,26,Month-to-month,Bank transfer,72.06,1753.9,Fiber optic,No,Yes,Yes,0
CF-10053,Female,0,34,One year,Bank transfer,57.84,2048.9,Fiber optic,Yes,No,Yes,0
CF-10054,Male,0,36,Month-to-month,Credit card,95.46,3218.78,Fiber optic,Yes,Yes,No,0
CF-10055,Male,0,3,Two year,Electronic check,87.97,265.56,Fiber optic,Yes,Yes,Yes,0
CF-10056,Female,0,39,One year,Bank transfer,71.64,2573.73,Fiber optic,Yes,No,Yes,0
CF-10057,Female,0,11,Two year,Bank transfer,82.26,1036.92,Fiber optic,No,No,No,0
CF-10058,Male,0,54,Month-to-month,Bank transfer,18.97,1045.09,No,No,No,Yes,0
CF-10059,Female,1,49,Two year,Mailed check,74.23,3569.14,Fiber optic,No,No,No,0
CF-10060,Female,0,67,Month-to-month,Mailed check,71.08,4631.03,Fiber optic,No,No,Yes,1
CF-10061,Male,0,54,Month-to-month,Bank transfer,34.83,1799.54,No,Yes,No,No,1
CF-10062,Female,0,26,Month-to-month,Electronic check,22.8,559.81,No,Yes,No,No,0
CF-10063,Male,0,70,Two year,Electronic check,44.13,2912.08,DSL,Yes,No,Yes,0
CF-10064,Male,0,29,One year,Mailed check,95.19,3010.89,Fiber optic,Yes,No,No,0
CF-10065,Male,0,23,Two year,Electronic check,76.39,1681.14,Fiber optic,No,No,Yes,0
CF-10066,Male,0,66,Month-to-month,Electronic check,76.67,4363.1,Fiber optic,No,Yes,No,1
CF-10067,Female,1,27,Two year,Electronic check,91.23,2266.26,Fiber optic,Yes,No,Yes,0
CF-10068,Male,1,5,Month-to-month,Bank transfer,78.99,412.98,Fiber optic,Yes,No,Yes,1
CF-10069,Male,0,34,Month-to-month,Credit card,49.79,1650.3,DSL,Yes,Yes,Yes,0
CF-10070,Female,0,58,Two year,Mailed check,80.75,4598.99,Fiber optic,No,Yes,No,0
CF-10071,Female,0,13,Month-to-month,Electronic check,40.13,553.09,DSL,Yes,No,No,0
CF-10072,Male,0,33,Month-to-month,Credit card,86.99,2708.1,Fiber optic,Yes,Yes,No,1
CF-10073,Male,0,9,One year,Electronic check,78.2,723.47,Fiber optic,Yes,Yes,Yes,0
CF-10074,Female,0,50,Month-to-month,Credit card,54.7,2598.05,DSL,No,Yes,Yes,0
CF-10075,Female,1,34,Month-to-month,Mailed check,27.92,972.59,No,No,Yes,Yes,1
CF-10076,Male,1,24,Month-to-month,Electronic check,81.73,1895.87,Fiber optic,No,No,Yes,1
CF-10077,Male,0,16,Month-to-month,Mailed check,39.54,617.14,DSL,Yes,Yes,Yes,0
CF-10078,Male,0,41,Two year,Electronic check,84.07,3582.01,Fiber optic,Yes,Yes,No,0
CF-10079,Female,0,48,One year,Bank transfer,67.4,3348.05,Fiber optic,No,No,No,0
CF-10080,Male,0,68,Month-to-month,Electronic check,53.67,3576.84,DSL,Yes,Yes,Yes,0
CF-10081,Female,0,31,Month-to-month,Credit card,64.16,1912.79,Fiber optic,Yes,Yes,Yes,0
CF-10082,Male,0,11,Month-to-month,Bank transfer,64.13,766.06,Fiber optic,No,No,No,1
CF-10083,Female,0,60,One year,Credit card,64.7,3980.45,DSL,Yes,No,No,0
CF-10084,Female,1,45,Two year,Credit card,88.32,3841.38,Fiber optic,Yes,No,No,0
CF-10085,Male,0,51,Two year,Electronic check,74.82,3628.14,Fiber optic,No,No,Yes,1
CF-10086,Male,0,7,Month-to-month,Mailed check,69.82,513.91,Fiber optic,No,No,Yes,1
CF-10087,Female,0,22,Month-to-month,Credit card,20.24,443.91,No,Yes,Yes,Yes,0
CF-10088,Male,0,56,Month-to-month,Mailed check,55.8,3062.89,DSL,Yes,No,No,0
CF-10089,Female,0,60,One year,Electronic check,74.91,4480.66,Fiber optic,No,No,No,1
CF-10090,Female,0,31,Month-to-month,Electronic check,98.92,3098.01,Fiber optic,Yes,Yes,No,0
CF-10091,Female,0,58,One year,Electronic check,52.34,2995.04,DSL,Yes,No,Yes,0
CF-10092,Male,0,61,One year,Credit card,78.53,5088.39,Fiber optic,No,Yes,Yes,1
CF-10093,Male,0,28,Month-to-month,Mailed check,34.5,1029.33,DSL,No,No,Yes,1
CF-10094,Male,0,65,Month-to-month,Bank transfer,43.75,2906.07,DSL,No,No,No,0
CF-10095,Male,0,21,Month-to-month,Credit card,86.59,1950.19,Fiber optic,Yes,No,Yes,1
CF-10096,Female,0,17,Month-to-month,Electronic check,81.64,1374.71,Fiber optic,Yes,Yes,No,0
CF-10097,Male,0,49,Month-to-month,Bank transfer,73.63,3721.23,Fiber optic,No,No,Yes,0
CF-10098,Female,0,46,One year,Electronic check,80.94,3910.4,Fiber optic,No,No,Yes,0
CF-10099,Male,0,10,Month-to-month,Electronic check,98.63,1036.74,Fiber optic,Yes,Yes,Yes,1
CF-10100,Male,0,60,Month-to-month,Electronic check,24.3,1523.55,No,No,Yes,Yes,0
CF-10101,Male,0,14,One year,Electronic check,95.3,1371.39,Fiber optic,Yes,No,No,0
CF-10102,Female,0,58,One year,Mailed check,52.59,3377.9,DSL,No,Yes,No,0
CF-10103,Female,0,0,Month-to-month,Mailed check,56.76,54.35,DSL,No,No,No,1
CF-10104,Male,0,58,Two year,Electronic check,79.51,4522.52,Fiber optic,Yes,No,Yes,0
CF-10105,Female,0,57,Two year,Electronic check,76.14,4240.72,Fiber optic,No,Yes,No,0
CF-10106,Female,0,56,One year,Bank transfer,76.18,4129.21,Fiber optic,No,No,Yes,0
